Enumerated Root Units

NISTu319: 0C_cm_Hg
NISTu327: 32F_in_Hg
NISTu335: 39F_btu
NISTu326: 39F_ft_water
NISTu323: 39F_in_water
NISTu320: 4C_cm_water
NISTu336: 59F_btu
NISTu337: 60F_btu
NISTu328: 60F_in_Hg
NISTu324: 60F_in_water
NISTu47: abampere
NISTu48: abcoulomb
NISTu49: abfarad
NISTu50: abhenry
NISTu51: abmho
NISTu52: abohm
NISTu53: abvolt
NISTu225: abwatt
NISTu4: ampere
NISTu39: angstrom
NISTu234: apothecaries_dram
NISTu149: arc_degree
NISTu147: arc_minute
NISTu148: arc_second
NISTu42: are
NISTu183: astronomical_unit
NISTu291: atomic_unit_of_1st_hyperpolarizability
NISTu292: atomic_unit_of_2nd_hyperpolarizability
NISTu248: atomic_unit_of_action
NISTu246: atomic_unit_of_charge
NISTu256: atomic_unit_of_charge_density
NISTu257: atomic_unit_of_current
NISTu258: atomic_unit_of_electric_dipole_moment
NISTu259: atomic_unit_of_electric_field
NISTu260: atomic_unit_of_electric_field_gradient
NISTu264: atomic_unit_of_electric_polarizability
NISTu261: atomic_unit_of_electric_potential
NISTu263: atomic_unit_of_electric_quadrupole_moment
NISTu250: atomic_unit_of_energy
NISTu262: atomic_unit_of_force
NISTu249: atomic_unit_of_length
NISTu254: atomic_unit_of_magnetic_dipole_moment
NISTu253: atomic_unit_of_magnetic_flux_density
NISTu252: atomic_unit_of_magnetizability
NISTu247: atomic_unit_of_mass
NISTu255: atomic_unit_of_momentum
NISTu293: atomic_unit_of_permittivity
NISTu251: atomic_unit_of_time
NISTu294: atomic_unit_of_velocity
NISTu91: bar
NISTu43: barn
NISTu239: barye
NISTu25: becquerel
NISTu154: bel
NISTu350: bit
NISTu285: boiler_horsepower
NISTu351: byte
NISTu7: candela
NISTu212: carat
NISTu283: circular_mil
NISTu318: cm_Hg
NISTu321: cm_water
NISTu278: computer_pica
NISTu280: computer_point
NISTu15: coulomb
NISTu98: curie
NISTu157: darcy
NISTu38: day
NISTu224: debye
NISTu23: degree_Celsius
NISTu133: degree_Fahrenheit
NISTu288: degree_Rankine
NISTu346: denier
NISTu275: dram
NISTu71: dyne
NISTu117: ec_therm
NISTu127: electric_horsepower
NISTu240: electronvolt
NISTu62: erg
NISTu17: farad
NISTu78: foot
NISTu276: footcandle
NISTu277: footlambert
NISTu330: ft_Hg
NISTu325: ft_water
NISTu143: gal
NISTu119: gauss
NISTu223: gilbert
NISTu159: gon
NISTu86: grain
NISTu27: gram
NISTu196: gram_force
NISTu28: gray
NISTu203: gross_hundredweight
NISTu44: hectare
NISTu22: henry
NISTu31: hertz
NISTu284: horsepower
NISTu37: hour
NISTu230: hundredweight
NISTu171: imperial_gallon
NISTu357: imperial_gill
NISTu173: imperial_ounce
NISTu172: imperial_pint
NISTu300: imperial_quart
NISTu8: inch
NISTu329: in_Hg
NISTu322: in_water
NISTu13: joule
NISTu30: katal
NISTu120: kayser
NISTu5: kelvin
NISTu237: kip
NISTu131.u37e-1_1: knot
NISTu222: lambert
NISTu377: light_hour
NISTu378: light_minute
NISTu379: light_second
NISTu376: light_week
NISTu182: light_year
NISTu130: liter
NISTu229: long_ton
NISTu32: lumen
NISTu33: lux
NISTu58: maxwell
NISTu334: mean_btu
NISTu1: meter
NISTu218: metric_horsepower
NISTu88: metric_ton
NISTu83: mile
NISTu36: minute
NISTu156: mm_Hg
NISTu215: mm_water
NISTu6: mole
NISTu347: nato_mil
NISTu243: natural_unit_of_action
NISTu297: natural_unit_of_action_in_eV_s
NISTu295: natural_unit_of_energy
NISTu298: natural_unit_of_energy_in_MeV
NISTu290: natural_unit_of_length
NISTu244: natural_unit_of_mass
NISTu296: natural_unit_of_momentum
NISTu299: natural_unit_of_momentum_in_MeV_per_c
NISTu245: natural_unit_of_time
NISTu242: natural_unit_of_velocity
NISTu131: nautical_mile
NISTu153: neper
NISTu11: newton
NISTu144: oersted
NISTu18: ohm
NISTu202: ounce
NISTu184: parsec
NISTu12: pascal
NISTu233: pennyweight
NISTu178: petro_barrel
NISTu332: pH
NISTu85: phot
NISTu128: poise
NISTu201: pound
NISTu236: poundal
NISTu205: pound_force
NISTu348: pound_mole
NISTu279: printers_pica
NISTu344: printers_point
NISTu99: rad
NISTu9: radian
NISTu100: rem
NISTu129: rhe
NISTu118: roentgen
NISTu235: scruple
NISTu3: second
NISTu345: shake
NISTu228: short_ton
NISTu340: sidereal_day
NISTu341: sidereal_hour
NISTu342: sidereal_minute
NISTu343: sidereal_second
NISTu339: sidereal_year
NISTu19: siemens
NISTu29: sievert
NISTu226: slug
NISTu134: standard_atmosphere
NISTu267: statampere
NISTu271: statcoulomb
NISTu266: statfarad
NISTu269: stathenry
NISTu270: statmho
NISTu265: statohm
NISTu273: stattesla
NISTu268: statvolt
NISTu274: statwatt
NISTu272: statweber
NISTu10: steradian
NISTu124: stilb
NISTu142: stokes
NISTu333: table_btu
NISTu60: table_calorie
NISTu63: table_kg_calorie
NISTu135: technical_atmosphere
NISTu21: tesla
NISTu213: tex
NISTu216: thermo_btu
NISTu227: thermo_calorie
NISTu64: thermo_kg_calorie
NISTu166: tons_of_tnt
NISTu238: ton_force
NISTu349: ton_refrigeration
NISTu214: torr
NISTu338: tropical_year
NISTu231: troy_ounce
NISTu232: troy_pound
NISTu287: uk_horsepower
NISTu241: unified_atomic_mass_unit
NISTu317: us_acre
NISTu179: us_bushel
NISTu354: us_cup
NISTu180: us_dry_pint
NISTu301: us_dry_quart
NISTu355: us_fluid_dram
NISTu177: us_fluid_ounce
NISTu175: us_gallon
NISTu356: us_gill
NISTu307: us_label_cup
NISTu308: us_label_fluid_ounce
NISTu309: us_label_ounce
NISTu305: us_label_tablespoon
NISTu306: us_label_teaspoon
NISTu353: us_minim
NISTu352: us_peck
NISTu176: us_pint
NISTu302: us_quart
NISTu310: us_survey_chain
NISTu282: us_survey_fathom
NISTu315: us_survey_foot
NISTu312: us_survey_furlong
NISTu316: us_survey_inch
NISTu311: us_survey_link
NISTu313: us_survey_mile
NISTu281: us_survey_rod
NISTu314: us_survey_yard
NISTu304: us_tablespoon
NISTu303: us_teaspoon
NISTu331: us_therm
NISTu16: volt
NISTu286: water_horsepower
NISTu14: watt
NISTu20: weber
NISTu84: yard
NISTu106: year_365

